CareerStage,IndustryCluster,CareerPath,JobTitle,JobSOCCode,EntryLevelWage,AverageWage
NEXT,Health Care,Patient Care,Surgical Technologists,29-2055,34860,42720
NEXT,Health Care,Patient Care,Licensed Practical and Licensed Vocational Nurses,29-2061,35060,41180
NEXT,Health Care,Patient Care,Nursing Assistants,31-1014,20830,25360
NEXT,Health Care,Patient Care,Physical Therapist Assistants,31-2021,44210,53330
NEXT,Health Care,Patient Care,Medical Assistants,31-9092,26370,31370
LATER,Health Care,Patient Care,Anesthesiologists,29-1061,190430,249950
LATER,Health Care,Patient Care,Family and General Practitioners,29-1062,60340,172940
"LATER,Health Care,Patient Care,""Pediatricians, General"",29-1065,124210,195800"
LATER,Health Care,Patient Care,Physician Assistants,29-1071,53200,91480
LATER,Health Care,Patient Care,Physical Therapists,29-1123,67450,82710
LATER,Health Care,Patient Care,Registered Nurses,29-1141,50330,63300
LATER,Health Care,Patient Care,Nurse Anesthetists,29-1151,130320,151680
LATER,Health Care,Patient Care,Nurse Practitioners,29-1171,84750,96490
NOW,Hospitality,Administrative and Support Services,Security Guards,33-9032,24700,36740
"NOW,Hospitality,Administrative and Support Services,""Janitors and Cleaners, Except Maids and Housekeeping Cleaners"",37-2011,20110,25670"
NOW,Hospitality,Administrative and Support Services,Maids and Housekeeping Cleaners,37-2012,18870,22050
NOW,Hospitality,Administrative and Support Services,Landscaping and Groundskeeping Workers,37-3011,22400,28650
NOW,Hospitality,Administrative and Support Services,Customer Service Representatives,43-4051,25850,34530
"NOW,Hospitality,Administrative and Support Services,""Hotel, Motel, and Resort Desk Clerks"",43-4081,18590,22080"
"NOW,Hospitality,Administrative and Support Services,""Office Clerks, General"",43-9061,22440,31640"
NOW,Hospitality,Administrative and Support Services,Laundry and Dry-Cleaning Workers,51-6011,18300,21660
NEXT,Hospitality,Administrative and Support Services,Lodging Managers,nov.81,29550,45800
NEXT,Hospitality,Administrative and Support Services,First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011,28280,38580
"NEXT,Hospitality,Administrative and Support Services,""Supervisors of Landscaping, Lawn Service & Groundskeeping Workers"",37-1012,36210,47030"
NEXT,Hospitality,Administrative and Support Services,First-Line Supervisors of Office and Administrative Support Workers,43-1011,41230,56110
"NEXT,Hospitality,Administrative and Support Services,""Bookkeeping, Accounting, and Auditing Clerks"",43-3031,28720,37800"
NEXT,Hospitality,Administrative and Support Services,Executive Secretaries and Executive Administrative Assistants,43-6011,44750,57460
"NEXT,Hospitality,Administrative and Support Services,""Maintenance and Repair Workers, General"",49-9071,27790,38140"
LATER,Hospitality,Administrative and Support Services,General and Operations Managers,11-1021,57360,106730
LATER,Hospitality,Administrative and Support Services,Administrative Services Managers,nov.11,62290,89270
LATER,Hospitality,Administrative and Support Services,Financial Managers,nov.31,91630,134210
LATER,Hospitality,Administrative and Support Services,Human Resources Managers,nov.21,83320,119950
LATER,Hospitality,Administrative and Support Services,Human Resources Specialists,13-1071,43630,63910
LATER,Hospitality,Administrative and Support Services,Training and Development Specialists,13-1151,40250,59880
LATER,Hospitality,Administrative and Support Services,Accountants and Auditors,13-2011,48320,70180
"NOW,Hospitality,Entertainment,""Lifeguards, Ski Patrol, and Other Recreational Protective Service"",33-9092,17600,18970"
NOW,Hospitality,Entertainment,Gaming Dealers,39-3011,18530,29960
"NOW,Hospitality,Entertainment,""Ushers, Lobby Attendants, and Ticket Takers"",39-3031,17630,20920"
NOW,Hospitality,Entertainment,Amusement and Recreation Attendants,39-3091,17890,21010
NOW,Hospitality,Entertainment,Gaming Change Persons and Booth Cashiers,41-2012,21980,27500
NEXT,Hospitality,Entertainment,Gaming Managers,nov.71,46750,63230
NEXT,Hospitality,Entertainment,Craft Artists,27-1012,23080,27000
NEXT,Hospitality,Entertainment,Audio and Video Equipment Technicians,27-4011,30790,41830
NEXT,Hospitality,Entertainment,Sound Engineering Technicians,27-4014,35060,52270
NEXT,Hospitality,Entertainment,Photographers,27-4021,21760,36970
LATER,Hospitality,Entertainment,General and Operations Managers,11-1021,57360,106730
"LATER,Hospitality,Entertainment,""Agents & Business Mgr., Artists, Performers, Athl."",13-1011,29430,39480"
LATER,Hospitality,Entertainment,Museum Technicians and Conservators,25-4013,31510,40230
"LATER,Hospitality,Entertainment,""Fine Artists, Including Painters, Sculptors, and Illustrators"",27-1013,25780,39610"
LATER,Hospitality,Entertainment,Multimedia Artists and Animators,27-1014,40820,56340
LATER,Hospitality,Entertainment,Set and Exhibit Designers,27-1027,33620,48190
LATER,Hospitality,Entertainment,Coaches and Scouts,27-2022,19430,43050
LATER,Hospitality,Entertainment,Music Directors and Composers,27-2041,35260,52660
LATER,Hospitality,Entertainment,Writers and Authors,27-3043,44110,64770
LATER,Hospitality,Entertainment,Athletic Trainers,29-9091,38670,45720
"NOW,Hospitality,Food Service,""Cooks, Fast Food"",35-2011,17660,19530"
"NOW,Hospitality,Food Service,""Cooks, Institution and Cafeteria"",35-2012,19200,24250"
"NOW,Hospitality,Food Service,""Cooks, Short Order"",35-2015,17640,20360"
NOW,Hospitality,Food Service,Food Preparation Workers,35-2021,18220,21480
NOW,Hospitality,Food Service,Bartenders,35-3011,17970,24890
"NOW,Hospitality,Food Service,""Combined Food Preparation and Serving Workers, Including Fast Food"",35-3021,17640,19990"
"NOW,Hospitality,Food Service,""Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"",35-3022,17960,20180"
NOW,Hospitality,Food Service,Waiters and Waitresses,35-3031,17790,21110
"NOW,Hospitality,Food Service,""Food Servers, Nonrestaurant"",35-3041,18070,21090"
NOW,Hospitality,Food Service,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011,17880,21330
NOW,Hospitality,Food Service,Dishwashers,35-9021,18030,20560
"NOW,Hospitality,Food Service,""Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"",35-9031,17880,19890"
"NOW,Hospitality,Food Service,""Food Preparation and Serving Related Workers, All Other"",35-9099,18700,21640"
NEXT,Hospitality,Food Service,Food Service Managers,nov.51,34270,49980
NEXT,Hospitality,Food Service,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,22280,30750
"NEXT,Hospitality,Food Service,""Cooks, Restaurant"",35-2014,19530,23800"
NEXT,Hospitality,Food Service,Bakers,51-3011,19460,24420
LATER,Hospitality,Food Service,General and Operations Managers,11-1021,57360,106730
"NOW,Hospitality,Sales and Marketing,""Media and Communication Workers, All Other"",27-3099,41670,51350"
NOW,Hospitality,Sales and Marketing,Cashiers,41-2011,17890,21250
NOW,Hospitality,Sales and Marketing,Counter and Rental Clerks,41-2021,21130,32380
NOW,Hospitality,Sales and Marketing,Retail Salespersons,41-2031,19150,27140
NOW,Hospitality,Sales and Marketing,Customer Service Representatives,43-4051,25850,34530
NOW,Hospitality,Sales and Marketing,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,26750,39440
"NEXT,Hospitality,Sales and Marketing,""Property, Real Estate & Community Assoc. Mgr."",nov.41,25970,53300"
NEXT,Hospitality,Sales and Marketing,First-Line Supervisors of Retail Sales Workers,41-1011,29650,41020
NEXT,Hospitality,Sales and Marketing,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660,71560
LATER,Hospitality,Sales and Marketing,Advertising and Promotions Managers,nov.11,74970,122450
LATER,Hospitality,Sales and Marketing,Marketing Managers,nov.21,92160,136100
LATER,Hospitality,Sales and Marketing,Sales Managers,nov.22,76040,133120
LATER,Hospitality,Sales and Marketing,Public Relations and Fundraising Managers,nov.31,72340,108580
"LATER,Hospitality,Sales and Marketing,""Meeting, Convention, and Event Planners"",13-1121,32800,48510"
LATER,Hospitality,Sales and Marketing,Fundraisers,13-1131,39770,52840
LATER,Hospitality,Sales and Marketing,Market Research Analysts & Marketing Specialists,13-1161,41100,64510
LATER,Hospitality,Sales and Marketing,Art Directors,27-1011,66660,104760
LATER,Hospitality,Sales and Marketing,Multimedia Artists and Animators,27-1014,40820,56340
LATER,Hospitality,Sales and Marketing,Graphic Designers,27-1024,34810,49410
LATER,Hospitality,Sales and Marketing,Public Relations Specialists,27-3031,40930,59360
NEXT,Information Technology,Information Support Services,Computer User Support Specialists,15-1151,34390,46570
NEXT,Information Technology,Information Support Services,Computer Network Support Specialists,15-1152,40750,55100
LATER,Information Technology,Information Support Services,Computer and Information Systems Managers,nov.21,97360,130240
LATER,Information Technology,Information Support Services,Computer Systems Analysts,15-1121,65550,88110
LATER,Information Technology,Information Support Services,Information Security Analysts,15-1122,64060,91630
LATER,Information Technology,Information Support Services,Network and Computer Systems Administrators,15-1142,60620,80280
LATER,Information Technology,Information Support Services,Computer Network Architects,15-1143,77000,97120
NEXT,Information Technology,Programming and Development,Web Developers,15-1134,40600,59210
LATER,Information Technology,Programming and Development,Computer and Information Systems Managers,nov.21,97360,130240
LATER,Information Technology,Programming and Development,Computer Programmers,15-1131,59760,80030
"LATER,Information Technology,Programming and Development,""Software Developers, Applications"",15-1132,75590,96100"
"LATER,Information Technology,Programming and Development,""Software Developers, Systems Software"",15-1133,74690,96200"
LATER,Information Technology,Programming and Development,Graphic Designers,27-1024,34810,49410
NOW,Transportation and Logistics,Procurement and Sales,Cashiers,41-2011,17890,21250
NOW,Transportation and Logistics,Procurement and Sales,Counter and Rental Clerks,41-2021,21130,32380
NOW,Transportation and Logistics,Procurement and Sales,Telemarketers,41-9041,17980,23520
NOW,Transportation and Logistics,Procurement and Sales,Customer Service Representatives,43-4051,25850,34530
NOW,Transportation and Logistics,Procurement and Sales,Driver/Sales Workers,53-3031,19010,29190
NEXT,Transportation and Logistics,Procurement and Sales,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660,71560
LATER,Transportation and Logistics,Procurement and Sales,Sales Managers,nov.22,76040,133120
LATER,Transportation and Logistics,Procurement and Sales,Purchasing Managers,nov.61,105080,143470
"LATER,Transportation and Logistics,Procurement and Sales,""Sales Rep., Wholesale & Manufacturing, Technical & Scientific Products"",41-4011,54250,84320"
NOW,Transportation and Logistics,Transportation,Light Truck or Delivery Services Drivers,53-3033,23410,35060
NEXT,Transportation and Logistics,Transportation,Automotive Service Technicians and Mechanics,49-3023,30220,41900
NEXT,Transportation and Logistics,Transportation,Bus & Truck Mechanics & Diesel Engine Specialists,49-3031,33860,43860
NEXT,Transportation and Logistics,Transportation,Aircraft Cargo Handling Supervisors,53-1011,38580,48520
NEXT,Transportation and Logistics,Transportation,Airfield Operations Specialists,53-2022,31530,41920
NEXT,Transportation and Logistics,Transportation,Heavy and Tractor-Trailer Truck Drivers,53-3032,33120,43480
NEXT,Transportation and Logistics,Transportation,Locomotive Engineers,53-4011,56750,68670
NOW,Transportation and Logistics,Warehousing and Distribution,Order Clerks,43-4151,23780,32450
NOW,Transportation and Logistics,Warehousing and Distribution,Cargo and Freight Agents,43-5011,35960,43970
"NOW,Transportation and Logistics,Warehousing and Distribution,""Shipping, Receiving, and Traffic Clerks"",43-5071,26180,33990"
NOW,Transportation and Logistics,Warehousing and Distribution,Stock Clerks and Order Fillers,43-5081,20000,26680
NOW,Transportation and Logistics,Warehousing and Distribution,Conveyor Operators and Tenders,53-7011,29430,35700
NOW,Transportation and Logistics,Warehousing and Distribution,Industrial Truck and Tractor Operators,53-7051,26530,34360
"NOW,Transportation and Logistics,Warehousing and Distribution,""Laborers and Freight, Stock, and Material Movers, Hand"",53-7062,22430,29750"
"NOW,Transportation and Logistics,Warehousing and Distribution,""Packers and Packagers, Hand"",53-7064,19620,25870"
"NEXT,Transportation and Logistics,Warehousing and Distribution,""Bookkeeping, Accounting, and Auditing Clerks"",43-3031,28720,37800"
LATER,Transportation and Logistics,Warehousing and Distribution,Logisticians,13-1081,54470,76570
"NEXT,Energy,Production,""Welders, Cutters, Solderers, and Brazers"",51-4121,30100,38730"
"NEXT,Transportation and Logistics,Transportation,""Dispatchers, Except Police, Fire, and Ambulance"",43-5032,31750,43550"
NEXT,Health Care,Business Operations,Billing and Posting Clerks,43-3021,29020,35750
NEXT,Advanced Manufacturing,Production,Structural Metal Fabricators and Fitters,51-2041,30680,37820
"NEXT,Hospitality,Administrative and Support Services,""Secretaries & Administrative Assistants, Except Legal, Medical, & Executive"",43-6014,25610,33590"
"NEXT,Bioscience,Production,""Mixing and Blending Machine Setters, Operators, and Tenders"",51-9023,32260,41680"
NEXT,Hospitality,Sales and Marketing,Merchandise Displayers and Window Trimmers,27-1026,23180,28590
NEXT,Transportation and Logistics,Procurement and Sales,Parts Salespersons,41-2022,21670,31750
NEXT,Education,Professional Services,Community Health Workers,21-1094,30730,38280
"NEXT,Transportation and Logistics,Warehousing and Distribution,""Production, Planning, and Expediting Clerks"",43-5061,35550,48140"
"NEXT,Energy,Production,""Coil Winders, Tapers, and Finishers"",51-2021,25980,34560"
NEXT,Health Care,Diagnostic and Therapeutic,Occupational Therapy Aides,31-2012,19020,28550
"NEXT,Hospitality,Sales and Marketing,""Sales Representatives, Services, All Other"",41-3099,31820,52940"
NEXT,Education,Administrative and Business Support Services,Bill and Account Collectors,43-3011,25390,32820
NEXT,Construction,Skilled Trades,Drywall and Ceiling Tile Installers,47-2081,31540,43450
"NEXT,Transportation and Logistics,Transportation,""Railroad Brake, Signal, and Switch Operators"",53-4021,47360,61450"
NEXT,Financial and Professional,Financial and Insurance Services,Loan Interviewers and Clerks,43-4131,28150,38010
"NEXT,Advanced Manufacturing,Business Operations & Sales,""Secretaries & Administrative Assistants, Except Legal, Medical, & Executive"",43-6014,25610,33590"
"NEXT,Financial and Professional,Sales and Marketing,""Sales Representatives, Services, All Other"",41-3099,31820,52940"
NEXT,Advanced Manufacturing,Production,Chemical Equipment Operators and Tenders,51-9011,29350,40680
NEXT,Education,Professional Services,Social and Human Service Assistants,21-1093,20440,28120
"NEXT,Bioscience,Animal Sciences,""Farmers, Ranchers & Other Ag. Managers"",nov.13,39680,59740"
NEXT,Health Care,Diagnostic and Therapeutic,Social and Human Service Assistants,21-1093,20440,28120
"NEXT,Energy,Production,""Computer-Controlled Machine Tool Operators, Metal and Plastic"",51-4011,31740,39790"
NEXT,Hospitality,Entertainment,Dancers,27-2031,0,0
"NEXT,Advanced Manufacturing,Production,""Lathe & Turning Machine Tool Setters, Operators, & Tenders, Metal & Plastic"",51-4034,29200,40400"
"NEXT,Financial and Professional,Business Operations,""Secretaries & Administrative Assistants, Except Legal, Medical, & Executive"",43-6014,25610,33590"
"NEXT,Education,Administrative and Business Support Services,""Secretaries & Administrative Assistants, Except Legal, Medical, & Executive"",43-6014,25610,33590"
"NEXT,Hospitality,Food Service,""Cooks, All Other"",35-2019,18740,28220"
"NEXT,Advanced Manufacturing,Production,""Computer-Controlled Machine Tool Operators, Metal and Plastic"",51-4011,31740,39790"
NEXT,Hospitality,Food Service,Chefs and Head Cooks,35-1011,31060,44800
NEXT,Health Care,Diagnostic and Therapeutic,Pharmacy Technicians,29-2052,24850,30610
"NEXT,Advanced Manufacturing,Production,""Cutting, Punching & Press Machine Setters, Oper. & Tenders, Metal & Plastic"",51-4031,26860,33860"
"NEXT,Financial and Professional,Financial and Insurance Services,""Title Examiners, Abstractors, and Searchers"",23-2093,34060,49240"
NEXT,Energy,Production,Structural Metal Fabricators and Fitters,51-2041,30680,37820
NEXT,Financial and Professional,Legal Services,Legal Secretaries,43-6012,30480,41730
NEXT,Transportation and Logistics,Transportation,Railroad Conductors and Yardmasters,53-4031,52730,64170
NEXT,Bioscience,Production,Packaging and Filling Machine Operators & Tenders,51-9111,24310,32670
NEXT,Bioscience,Animal Sciences,Veterinary Assistants & Lab. Animal Caretakers,31-9096,19770,24680
NEXT,Financial and Professional,Sales and Marketing,New Accounts Clerks,43-4141,25570,30810
"NEXT,Bioscience,Research and Development,""Inspectors, Testers, Sorters, Samplers & Weighers"",51-9061,29530,40330"
"NEXT,Transportation and Logistics,Procurement and Sales,""Sales Rep., Wholesale & Manufacturing, Except Tech. & Scientific Products"",41-4012,37930,63700"
NEXT,Construction,Skilled Trades,Supervisors of Construction and Extraction Workers,47-1011,51730,71550
"NEXT,Advanced Manufacturing,Business Operations & Sales,""Sales Rep., Wholesale & Manufacturing, Except Tech. & Scientific Products"",41-4012,37930,63700"
NEXT,Financial and Professional,Business Operations,Payroll and Timekeeping Clerks,43-3051,29400,39250
"NEXT,Bioscience,Production,""Maintenance Workers, Machinery"",49-9043,37870,46740"
NEXT,Transportation and Logistics,Procurement and Sales,Procurement Clerks,43-3061,32480,39220
NEXT,Education,Administrative and Business Support Services,Payroll and Timekeeping Clerks,43-3051,29400,39250
"NEXT,Advanced Manufacturing,Production,""Extruding & Drawing Machine Setters, Operators, & Tenders, Metal & Plastic"",51-4021,27610,34620"
NEXT,Education,Professional Services,Residential Advisors,39-9041,22220,28470
NEXT,Construction,Skilled Trades,Operating Engineers and Other Construction Equipment Operators,47-2073,36860,54140
NEXT,Hospitality,Administrative and Support Services,Concierges,39-6012,21250,25240
"NEXT,Transportation and Logistics,Transportation,""Trans., Storage, and Distribution Managers"",nov.71,68310,96580"
"NEXT,Hospitality,Entertainment,""Umpires, Referees, and Other Sports Officials"",27-2023,18420,29880"
"NEXT,Advanced Manufacturing,Production,""Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"",51-9121,26750,35210"
"NEXT,Advanced Manufacturing,Production,""Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"",51-4081,27870,34440"
NEXT,Financial and Professional,Financial and Insurance Services,Brokerage Clerks,43-4011,36490,45640
"NEXT,Advanced Manufacturing,Engineering and Maintenance,""Maintenance Workers, Machinery"",49-9043,37870,46740"
NEXT,Health Care,Business Operations,Medical Secretaries,43-6013,26520,33030
NEXT,Construction,Skilled Trades,Cement Masons and Concrete Finishers,47-2051,37040,53000
NEXT,Energy,Engineering and Quality Control,Surveying and Mapping Technicians,17-3031,32270,41460
NEXT,Advanced Manufacturing,Production,Engine and Other Machine Assemblers,51-2031,34070,40350
NEXT,Energy,Production,Engine and Other Machine Assemblers,51-2031,34070,40350
NEXT,Transportation and Logistics,Transportation,Commercial Pilots,53-2012,61310,85060
NEXT,Health Care,Diagnostic and Therapeutic,Community Health Workers,21-1094,30730,38280
"NEXT,Construction,Engineering and Quality Control,""Inspectors, Testers, Sorters, Samplers & Weighers"",51-9061,29530,40330"
"NEXT,Bioscience,Production,""Sep., Filtering, Clarifying, Precipitating Still Mach. Set., Oper. & Tend."",51-9012,32220,39580"
NEXT,Construction,Skilled Trades,Roofers,47-2181,32950,46110
NEXT,Financial and Professional,Financial and Insurance Services,Tax Preparers,13-2082,24760,41020
"NEXT,Transportation and Logistics,Warehousing and Distribution,""Trans., Storage, and Distribution Managers"",nov.71,68310,96580"
NEXT,Construction,Engineering and Quality Control,Construction and Building Inspectors,47-4011,41810,51400
NEXT,Advanced Manufacturing,Production,Packaging and Filling Machine Operators & Tenders,51-9111,24310,32670
"NEXT,Energy,Engineering and Quality Control,""Inspectors, Testers, Sorters, Samplers & Weighers"",51-9061,29530,40330"
NEXT,Hospitality,Entertainment,Musicians and Singers,27-2042,0,0
"NEXT,Energy,Production,""Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"",51-4081,27870,34440"
"NEXT,Advanced Manufacturing,Production,""Welders, Cutters, Solderers, and Brazers"",51-4121,30100,38730"
NEXT,Hospitality,Sales and Marketing,Advertising Sales Agents,41-3011,25310,46210
NEXT,Financial and Professional,Financial and Insurance Services,Insurance Claims and Policy Processing Clerks,43-9041,29800,41990
NEXT,Hospitality,Entertainment,Actors,27-2011,0,0
NEXT,Financial and Professional,Business Operations,Billing and Posting Clerks,43-3021,29020,35750
"NEXT,Financial and Professional,Financial and Insurance Services,""Credit Authorizers, Checkers, and Clerks"",43-4041,29050,35720"
"NEXT,Advanced Manufacturing,Production,""Grind., Lap., Polish. & Buff. Mach. Tool Set., Oper. & Tend., Met. & Plast."",51-4033,27790,37370"
"NEXT,Advanced Manufacturing,Production,""Molding, Coremaking & Casting Machine Set., Oper. & Tend., Metal & Plastic"",51-4072,22570,29070"
NEXT,Financial and Professional,Business Operations,Bill and Account Collectors,43-3011,25390,32820
NEXT,Financial and Professional,Sales and Marketing,Advertising Sales Agents,41-3011,25310,46210
"NEXT,Construction,Skilled Trades,""Welders, Cutters, Solderers, and Brazers"",51-4121,30100,38730"
NEXT,Bioscience,Production,Chemical Equipment Operators and Tenders,51-9011,29350,40680
"NEXT,Construction,Skilled Trades,""Painters, Construction and Maintenance"",47-2141,35560,50240"
"NEXT,Construction,Skilled Trades,""Paving, Surfacing, and Tamping Equipment Operators"",47-2071,34520,50060"
"NEXT,Advanced Manufacturing,Production,""Extruding, Forming, Pressing & Compacting Machine Setters, Oper. & Tenders"",51-9041,29670,35930"
NOW,Engineering,Engineering Design,Data Scientist,15-1152,66659,103875
NEXT,Engineering,Engineering Design,Cybersecurity Specialist,15-1132,54217,105952
NOW,Information Technology,Software Development,Electrical Engineer,17-2112,69252,109573
NOW,Information Technology,Cybersecurity,AI Engineer,15-1121,67789,87137
NEXT,Engineering,Engineering Design,Cybersecurity Specialist,15-1121,51316,74868
NOW,Engineering,Data Science,AI Engineer,17-2141,52477,90874
NOW,Information Technology,Software Development,Mechanical Engineer,15-1121,66428,108090
NEXT,Engineering,Network Administration,Quality Assurance Engineer,15-1132,65268,111310
NOW,Engineering,Software Development,DevOps Engineer,15-1121,67626,76587
NOW,Engineering,Data Science,DevOps Engineer,15-1152,62452,95297
NOW,Engineering,Software Development,Software Engineer,17-2112,50120,107466
NOW,Information Technology,Cybersecurity,Mechanical Engineer,15-1121,68819,111786
NOW,Information Technology,Software Development,Mechanical Engineer,17-2112,58656,115714
NOW,Engineering,Project Management,DevOps Engineer,17-2051,68499,95142
NEXT,Information Technology,Data Science,Systems Analyst,15-1121,61246,119177
NOW,Information Technology,Software Development,Cybersecurity Specialist,15-1152,69001,81733
NEXT,Information Technology,Network Administration,Systems Analyst,17-2071,53052,116504
NOW,Information Technology,Engineering Design,AI Engineer,17-2071,68367,100447
NEXT,Engineering,Network Administration,Systems Analyst,17-2141,53463,83936
NEXT,Engineering,Cybersecurity,Electrical Engineer,17-2071,65342,94354
NEXT,Engineering,Data Science,Civil Engineer,15-1256,66816,93061
NOW,Information Technology,Software Development,Electrical Engineer,15-1256,63109,92723
NEXT,Engineering,Network Administration,Software Developer,15-1256,67315,109307
NEXT,Information Technology,Software Development,Quality Assurance Engineer,15-1152,67635,76259
NOW,Information Technology,Project Management,Quality Assurance Engineer,17-2112,57695,81958
NEXT,Information Technology,Cybersecurity,Data Scientist,17-2051,64844,88077
NEXT,Information Technology,Software Development,Systems Analyst,17-2112,68682,117471
NEXT,Information Technology,Data Science,Mechanical Engineer,17-2141,55519,96775
NEXT,Information Technology,Network Administration,DevOps Engineer,15-1121,68447,83951
NOW,Information Technology,Project Management,Data Scientist,17-2141,62378,113049
NEXT,Information Technology,Project Management,Systems Analyst,15-1132,54449,97349
NOW,Information Technology,Cybersecurity,Cybersecurity Specialist,17-2141,68672,80195
NEXT,Engineering,Data Science,AI Engineer,17-2051,61949,75507
NOW,Engineering,Project Management,Software Developer,15-1132,56577,76946
NOW,Engineering,Engineering Design,Civil Engineer,15-1152,56769,112654
NEXT,Engineering,Cybersecurity,Quality Assurance Engineer,15-1256,69058,88767
NOW,Information Technology,Engineering Design,Mechanical Engineer,17-2141,59718,102577
NEXT,Information Technology,Software Development,Electrical Engineer,17-2071,66545,99806
NOW,Engineering,Project Management,DevOps Engineer,17-2051,61177,112764
NEXT,Information Technology,Data Science,Software Developer,15-1256,69000,84902
NEXT,Engineering,Engineering Design,Mechanical Engineer,17-2141,58333,89694
NOW,Engineering,Project Management,Software Engineer,17-2051,61329,89389
NEXT,Engineering,Engineering Design,Quality Assurance Engineer,17-2051,61034,76407
NEXT,Engineering,Project Management,DevOps Engineer,17-2141,69194,98884
NEXT,Engineering,Cybersecurity,Systems Analyst,15-1152,63931,111215
NOW,Engineering,Network Administration,Software Developer,15-1152,64616,115199
NEXT,Engineering,Software Development,Software Engineer,17-2112,59790,101189
NOW,Information Technology,Software Development,Data Scientist,15-1152,68249,77172
NOW,Information Technology,Cybersecurity,Electrical Engineer,17-2112,52171,91535
NEXT,Information Technology,Project Management,Software Engineer,15-1152,57020,115083
NEXT,Engineering,Network Administration,Systems Analyst,17-2071,51951,114541
NEXT,Engineering,Data Science,Electrical Engineer,15-1256,66778,77344
NOW,Engineering,Software Development,Systems Analyst,15-1152,64001,100548
NOW,Information Technology,Software Development,Software Developer,17-2112,68592,88808
NEXT,Information Technology,Data Science,Electrical Engineer,15-1132,53715,98186
NOW,Engineering,Project Management,Network Engineer,15-1256,65262,108025
NOW,Engineering,Cybersecurity,Civil Engineer,15-1121,55219,110663
NOW,Information Technology,Engineering Design,Network Engineer,15-1121,62158,104401
NEXT,Engineering,Project Management,DevOps Engineer,17-2141,53002,112109
NOW,Information Technology,Data Science,Software Developer,17-2141,68480,110477
NOW,Engineering,Software Development,DevOps Engineer,17-2141,69630,88975
NOW,Information Technology,Data Science,DevOps Engineer,17-2051,58521,107749
NEXT,Information Technology,Engineering Design,AI Engineer,17-2051,57286,77866
NOW,Engineering,Project Management,Quality Assurance Engineer,15-1132,51168,97644
NEXT,Information Technology,Engineering Design,Cybersecurity Specialist,15-1256,67606,90980
NEXT,Information Technology,Software Development,Electrical Engineer,15-1132,67303,117012
NOW,Engineering,Project Management,Quality Assurance Engineer,17-2141,66921,78051
NEXT,Information Technology,Project Management,Civil Engineer,15-1152,67210,82125
NEXT,Information Technology,Network Administration,Electrical Engineer,15-1132,57908,102179
NEXT,Information Technology,Data Science,Network Engineer,15-1152,50823,92771
NEXT,Information Technology,Data Science,Software Engineer,17-2112,65175,84035
NEXT,Information Technology,Network Administration,DevOps Engineer,15-1152,58843,81865
NOW,Engineering,Data Science,Systems Analyst,15-1256,52363,78456
NEXT,Information Technology,Cybersecurity,Software Engineer,17-2141,59114,70519
NEXT,Engineering,Network Administration,Software Engineer,17-2051,65794,96194
NEXT,Information Technology,Project Management,Quality Assurance Engineer,15-1256,68092,87142
NOW,Engineering,Data Science,Systems Analyst,15-1121,51113,119581
NEXT,Engineering,Cybersecurity,Software Engineer,17-2112,52483,117084
NEXT,Information Technology,Project Management,Mechanical Engineer,17-2141,61376,73853
NOW,Information Technology,Software Development,Software Engineer,17-2112,68556,76282
NEXT,Engineering,Network Administration,Data Scientist,15-1256,66091,116817
NEXT,Engineering,Data Science,Software Developer,17-2112,66498,113020
NOW,Engineering,Cybersecurity,Civil Engineer,17-2051,57979,97325
NEXT,Engineering,Network Administration,Civil Engineer,15-1152,54703,116910
NEXT,Information Technology,Data Science,Cybersecurity Specialist,15-1132,58965,91100
NOW,Engineering,Cybersecurity,Mechanical Engineer,17-2071,65634,119529
NOW,Engineering,Network Administration,Network Engineer,17-2051,64387,76668
NOW,Engineering,Data Science,AI Engineer,15-1121,52878,82105
NOW,Engineering,Cybersecurity,Mechanical Engineer,15-1152,53601,81214
NEXT,Engineering,Engineering Design,Systems Analyst,17-2071,66844,73184
NEXT,Engineering,Engineering Design,Network Engineer,17-2141,68728,76818
NOW,Information Technology,Software Development,Systems Analyst,17-2051,67033,116358
NOW,Engineering,Network Administration,DevOps Engineer,17-2051,50692,86969
NEXT,Information Technology,Project Management,Data Scientist,15-1132,57020,82552
NOW,Information Technology,Cybersecurity,Data Scientist,15-1121,62372,83172
NEXT,Information Technology,Network Administration,Electrical Engineer,15-1256,57408,91939
NEXT,Information Technology,Data Science,Network Engineer,17-2141,56078,113158
NEXT,Engineering,Data Science,Systems Analyst,17-2051,57401,103937
NEXT,Information Technology,Engineering Design,DevOps Engineer,17-2141,67503,113509
NOW,Engineering,Network Administration,Network Engineer,15-1121,60461,82499
NEXT,Information Technology,Engineering Design,Quality Assurance Engineer,15-1121,52114,116601
