CareerStage,IndustryCluster,CareerPath,JobTitle,JobSOCCode,EntryLevelWage,AverageWage,Skills,MatchScore
LATER,Financial and Professional,Financial and Insurance Services,Financial Managers,nov.31,91630.0,134210.0,"['Communication', 'Scheduling', 'Customer Service', 'Time Management', 'Microsoft Office', 'Organizational Skills']",0
LATER,Financial and Professional,Financial and Insurance Services,Accountants and Auditors,13-2011,48320.0,70180.0,"['Customer Service', 'Adaptability', 'Time Management']",0
LATER,Financial and Professional,Financial and Insurance Services,Credit Analysts,13-2041,50110.0,76980.0,"['Scheduling', 'Resource Management', 'Teamwork', 'Customer Service', 'Critical Thinking']",0
LATER,Financial and Professional,Financial and Insurance Services,Financial Analysts,13-2051,61470.0,94930.0,"['Basic Accounting', 'Communication', 'Organizational Skills']",0
LATER,Financial and Professional,Financial and Insurance Services,Personal Financial Advisors,13-2052,47780.0,89710.0,"['Microsoft Office', 'Basic Accounting', 'Organizational Skills', 'Scheduling', 'Teamwork']",0
LATER,Financial and Professional,Financial and Insurance Services,Insurance Underwriters,13-2053,44670.0,66380.0,"['Teamwork', 'Critical Thinking', 'Organizational Skills']",0
LATER,Financial and Professional,Financial and Insurance Services,Financial Examiners,13-2061,46460.0,73660.0,"['Time Management', 'Critical Thinking', 'Adaptability', 'Organizational Skills']",0
LATER,Financial and Professional,Financial and Insurance Services,Credit Counselors,13-2071,36980.0,53070.0,"['Time Management', 'Communication', 'Organizational Skills']",0
LATER,Financial and Professional,Financial and Insurance Services,Loan Officers,13-2072,49480.0,76520.0,"['Resource Management', 'Adaptability', 'Scheduling', 'Organizational Skills', 'Communication', 'Research']",1
LATER,Financial and Professional,Financial and Insurance Services,Actuaries,15-2011,64900.0,101140.0,"['Organizational Skills', 'Microsoft Office', 'Customer Service', 'Adaptability']",0
"LATER,Financial and Professional,Financial and Insurance Services,""Securities, Commodities, and Financial Services Sales Agents"",41-3031,34180,80550",,,,,,,"['Research', 'Time Management', 'Customer Service', 'Critical Thinking', 'Adaptability', 'Scheduling']",1
NOW,Financial and Professional,Legal Services,File Clerks,43-4071,24890.0,33530.0,"['Critical Thinking', 'Basic Accounting', 'Organizational Skills', 'Scheduling', 'Resource Management', 'Microsoft Office']",0
"NOW,Financial and Professional,Legal Services,""Office Clerks, General"",43-9061,22440,31640",,,,,,,"['Basic Accounting', 'Microsoft Office', 'Teamwork', 'Research', 'Scheduling']",1
NEXT,Financial and Professional,Legal Services,Paralegals and Legal Assistants,23-2011,38730.0,52340.0,"['Microsoft Office', 'Organizational Skills', 'Resource Management']",0
NEXT,Financial and Professional,Legal Services,Executive Secretaries and Executive Administrative Assistants,43-6011,44750.0,57460.0,"['Organizational Skills', 'Resource Management', 'Microsoft Office']",0
LATER,Financial and Professional,Legal Services,Lawyers,23-1011,66650.0,115520.0,"['Microsoft Office', 'Scheduling', 'Research', 'Organizational Skills', 'Critical Thinking', 'Customer Service']",1
NOW,Financial and Professional,Sales and Marketing,Telemarketers,41-9041,17980.0,23520.0,"['Microsoft Office', 'Time Management', 'Adaptability', 'Resource Management']",0
NOW,Financial and Professional,Sales and Marketing,Customer Service Representatives,43-4051,25850.0,34530.0,"['Time Management', 'Adaptability', 'Communication', 'Basic Accounting']",0
NEXT,Financial and Professional,Sales and Marketing,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660.0,71560.0,"['Critical Thinking', 'Resource Management', 'Basic Accounting']",0
LATER,Financial and Professional,Sales and Marketing,Advertising and Promotions Managers,nov.11,74970.0,122450.0,"['Communication', 'Scheduling', 'Microsoft Office', 'Organizational Skills', 'Adaptability']",0
LATER,Financial and Professional,Sales and Marketing,Marketing Managers,nov.21,92160.0,136100.0,"['Research', 'Scheduling', 'Organizational Skills', 'Critical Thinking']",1
LATER,Financial and Professional,Sales and Marketing,Sales Managers,nov.22,76040.0,133120.0,"['Customer Service', 'Scheduling', 'Teamwork']",0
LATER,Financial and Professional,Sales and Marketing,Public Relations and Fundraising Managers,nov.31,72340.0,108580.0,"['Time Management', 'Microsoft Office', 'Critical Thinking', 'Scheduling', 'Research', 'Communication']",1
"LATER,Financial and Professional,Sales and Marketing,""Meeting, Convention, and Event Planners"",13-1121,32800,48510",,,,,,,"['Scheduling', 'Basic Accounting', 'Time Management', 'Resource Management', 'Microsoft Office', 'Communication']",0
LATER,Financial and Professional,Sales and Marketing,Market Research Analysts & Marketing Specialists,13-1161,41100.0,64510.0,"['Organizational Skills', 'Customer Service', 'Time Management', 'Teamwork']",0
LATER,Financial and Professional,Sales and Marketing,Graphic Designers,27-1024,34810.0,49410.0,"['Basic Accounting', 'Organizational Skills', 'Critical Thinking', 'Teamwork', 'Time Management', 'Customer Service']",0
LATER,Financial and Professional,Sales and Marketing,Public Relations Specialists,27-3031,40930.0,59360.0,"['Critical Thinking', 'Time Management', 'Resource Management', 'Adaptability', 'Microsoft Office']",0
NOW,Health Care,Business Operations,Customer Service Representatives,43-4051,25850.0,34530.0,"['Basic Accounting', 'Microsoft Office', 'Organizational Skills']",0
NOW,Health Care,Business Operations,Receptionists and Information Clerks,43-4171,21040.0,26600.0,"['Scheduling', 'Resource Management', 'Microsoft Office', 'Basic Accounting', 'Customer Service', 'Communication']",0
"NOW,Health Care,Business Operations,""Office Clerks, General"",43-9061,22440,31640",,,,,,,"['Resource Management', 'Organizational Skills', 'Basic Accounting', 'Adaptability', 'Communication']",0
NEXT,Health Care,Business Operations,Web Developers,15-1134,40600.0,59210.0,"['Time Management', 'Resource Management', 'Communication']",0
NEXT,Health Care,Business Operations,Computer User Support Specialists,15-1151,34390.0,46570.0,"['Research', 'Adaptability', 'Scheduling']",1
NEXT,Health Care,Business Operations,Medical Records and Health Information Technicians,29-2071,31420.0,41620.0,"['Scheduling', 'Basic Accounting', 'Research', 'Critical Thinking', 'Microsoft Office', 'Time Management']",1
NEXT,Health Care,Business Operations,Medical Transcriptionists,31-9094,26200.0,34390.0,"['Teamwork', 'Microsoft Office', 'Communication']",0
NEXT,Health Care,Business Operations,First-Line Supervisors of Office and Administrative Support Workers,43-1011,41230.0,56110.0,"['Scheduling', 'Communication', 'Research']",1
LATER,Health Care,Business Operations,Public Relations and Fundraising Managers,nov.31,72340.0,108580.0,"['Critical Thinking', 'Organizational Skills', 'Scheduling', 'Communication', 'Customer Service', 'Adaptability']",0
LATER,Health Care,Business Operations,Administrative Services Managers,nov.11,62290.0,89270.0,"['Customer Service', 'Time Management', 'Communication', 'Resource Management']",0
LATER,Health Care,Business Operations,Medical and Health Services Managers,nov.11,75040.0,106810.0,"['Resource Management', 'Microsoft Office', 'Research', 'Customer Service', 'Time Management']",1
LATER,Health Care,Business Operations,Accountants and Auditors,13-2011,48320.0,70180.0,"['Teamwork', 'Resource Management', 'Communication', 'Customer Service', 'Adaptability']",0
LATER,Health Care,Business Operations,Computer Systems Analysts,15-1121,65550.0,88110.0,"['Communication', 'Teamwork', 'Organizational Skills', 'Critical Thinking']",0
"LATER,Health Care,Business Operations,""Software Developers, Applications"",15-1132,75590,96100",,,,,,,"['Critical Thinking', 'Microsoft Office', 'Customer Service', 'Scheduling', 'Communication']",0
LATER,Health Care,Business Operations,Network and Computer Systems Administrators,15-1142,60620.0,80280.0,"['Resource Management', 'Teamwork', 'Adaptability']",0
LATER,Health Care,Business Operations,Public Relations Specialists,27-3031,40930.0,59360.0,"['Microsoft Office', 'Communication', 'Adaptability', 'Resource Management', 'Critical Thinking', 'Research']",1
NOW,Health Care,Diagnostic and Therapeutic,Psychiatric Aides,31-1013,23140.0,27950.0,"['Time Management', 'Basic Accounting', 'Critical Thinking', 'Resource Management', 'Organizational Skills']",0
NEXT,Health Care,Diagnostic and Therapeutic,Radiation Therapists,29-1124,64280.0,77680.0,"['Adaptability', 'Critical Thinking', 'Customer Service', 'Research', 'Communication']",1
NEXT,Health Care,Diagnostic and Therapeutic,Respiratory Therapists,29-1126,45020.0,54760.0,"['Customer Service', 'Research', 'Adaptability', 'Teamwork', 'Communication', 'Microsoft Office']",1
NEXT,Health Care,Diagnostic and Therapeutic,Dental Hygienists,29-2021,63070.0,69980.0,"['Critical Thinking', 'Microsoft Office', 'Time Management']",0
NEXT,Health Care,Diagnostic and Therapeutic,Diagnostic Medical Sonographers,29-2032,57790.0,71730.0,"['Critical Thinking', 'Research', 'Microsoft Office']",1
NEXT,Health Care,Diagnostic and Therapeutic,Radiologic Technologists,29-2034,44570.0,54000.0,"['Organizational Skills', 'Microsoft Office', 'Communication', 'Adaptability', 'Time Management', 'Basic Accounting']",0
NEXT,Health Care,Diagnostic and Therapeutic,Occupational Therapy Assistants,31-2011,48870.0,57850.0,"['Organizational Skills', 'Critical Thinking', 'Scheduling', 'Teamwork', 'Time Management']",0
NEXT,Health Care,Diagnostic and Therapeutic,Massage Therapists,31-9011,31450.0,37950.0,"['Customer Service', 'Time Management', 'Critical Thinking']",0
NEXT,Health Care,Diagnostic and Therapeutic,Dental Assistants,31-9091,30510.0,36900.0,"['Teamwork', 'Time Management', 'Basic Accounting', 'Communication']",0
NEXT,Health Care,Diagnostic and Therapeutic,Phlebotomists,31-9097,26570.0,31630.0,"['Microsoft Office', 'Organizational Skills', 'Time Management', 'Research', 'Scheduling']",1
LATER,Health Care,Diagnostic and Therapeutic,Healthcare Social Workers,21-1022,33630.0,45620.0,"['Research', 'Time Management', 'Scheduling', 'Critical Thinking', 'Organizational Skills', 'Communication']",1
LATER,Health Care,Diagnostic and Therapeutic,Mental Health and Substance Abuse Social Workers,21-1023,24740.0,34710.0,"['Time Management', 'Microsoft Office', 'Customer Service', 'Research']",1
"LATER,Health Care,Diagnostic and Therapeutic,""Dentists, General"",29-1021,119110,180350",,,,,,,"['Organizational Skills', 'Resource Management', 'Scheduling']",0
LATER,Health Care,Diagnostic and Therapeutic,Pharmacists,29-1051,112850.0,123610.0,"['Basic Accounting', 'Critical Thinking', 'Adaptability', 'Communication']",0
LATER,Health Care,Diagnostic and Therapeutic,Obstetricians and Gynecologists,29-1064,101020.0,219750.0,"['Basic Accounting', 'Communication', 'Adaptability']",0
LATER,Health Care,Diagnostic and Therapeutic,Psychiatrists,29-1066,153920.0,235180.0,"['Customer Service', 'Research', 'Resource Management', 'Microsoft Office']",1
LATER,Health Care,Diagnostic and Therapeutic,Occupational Therapists,29-1122,66540.0,77460.0,"['Microsoft Office', 'Research', 'Time Management', 'Teamwork', 'Critical Thinking']",1
LATER,Health Care,Diagnostic and Therapeutic,Speech-Language Pathologists,29-1127,54370.0,74140.0,"['Organizational Skills', 'Adaptability', 'Communication', 'Customer Service']",0
NOW,Health Care,Patient Care,Home Health Aides,31-1011,20270.0,22660.0,"['Resource Management', 'Communication', 'Basic Accounting', 'Customer Service']",0
NOW,Health Care,Patient Care,Orderlies,31-1015,19210.0,22910.0,"['Basic Accounting', 'Critical Thinking', 'Organizational Skills', 'Adaptability']",0
NOW,Health Care,Patient Care,Physical Therapist Aides,31-2022,19870.0,26110.0,"['Time Management', 'Basic Accounting', 'Customer Service', 'Research', 'Teamwork', 'Organizational Skills']",1
NOW,Health Care,Patient Care,Personal Care Aides,39-9021,19040.0,21730.0,"['Organizational Skills', 'Critical Thinking', 'Research']",1
NEXT,Health Care,Patient Care,Emergency Medical Technicians and Paramedics,29-2041,25140.0,34500.0,"['Scheduling', 'Time Management', 'Basic Accounting']",0
NEXT,Health Care,Patient Care,Surgical Technologists,29-2055,34860.0,42720.0,"['Teamwork', 'Microsoft Office', 'Customer Service', 'Resource Management', 'Research']",1
NEXT,Health Care,Patient Care,Licensed Practical and Licensed Vocational Nurses,29-2061,35060.0,41180.0,"['Basic Accounting', 'Critical Thinking', 'Adaptability', 'Organizational Skills']",0
NEXT,Health Care,Patient Care,Nursing Assistants,31-1014,20830.0,25360.0,"['Critical Thinking', 'Communication', 'Customer Service', 'Time Management']",0
NEXT,Health Care,Patient Care,Physical Therapist Assistants,31-2021,44210.0,53330.0,"['Critical Thinking', 'Microsoft Office', 'Scheduling', 'Time Management']",0
NEXT,Health Care,Patient Care,Medical Assistants,31-9092,26370.0,31370.0,"['Scheduling', 'Teamwork', 'Customer Service', 'Organizational Skills']",0
LATER,Health Care,Patient Care,Anesthesiologists,29-1061,190430.0,249950.0,"['Basic Accounting', 'Critical Thinking', 'Research']",1
LATER,Health Care,Patient Care,Family and General Practitioners,29-1062,60340.0,172940.0,"['Adaptability', 'Scheduling', 'Microsoft Office']",0
"LATER,Health Care,Patient Care,""Pediatricians, General"",29-1065,124210,195800",,,,,,,"['Teamwork', 'Basic Accounting', 'Scheduling', 'Resource Management', 'Customer Service', 'Adaptability']",0
LATER,Health Care,Patient Care,Physician Assistants,29-1071,53200.0,91480.0,"['Customer Service', 'Research', 'Organizational Skills', 'Scheduling', 'Microsoft Office', 'Communication']",1
LATER,Health Care,Patient Care,Physical Therapists,29-1123,67450.0,82710.0,"['Adaptability', 'Research', 'Scheduling', 'Resource Management']",1
LATER,Health Care,Patient Care,Registered Nurses,29-1141,50330.0,63300.0,"['Teamwork', 'Scheduling', 'Organizational Skills']",0
LATER,Health Care,Patient Care,Nurse Anesthetists,29-1151,130320.0,151680.0,"['Organizational Skills', 'Microsoft Office', 'Resource Management', 'Scheduling', 'Time Management', 'Critical Thinking']",0
LATER,Health Care,Patient Care,Nurse Practitioners,29-1171,84750.0,96490.0,"['Basic Accounting', 'Customer Service', 'Resource Management']",0
NOW,Hospitality,Administrative and Support Services,Security Guards,33-9032,24700.0,36740.0,"['Time Management', 'Customer Service', 'Basic Accounting', 'Organizational Skills', 'Resource Management']",0
"NOW,Hospitality,Administrative and Support Services,""Janitors and Cleaners, Except Maids and Housekeeping Cleaners"",37-2011,20110,25670",,,,,,,"['Adaptability', 'Time Management', 'Scheduling', 'Critical Thinking', 'Communication', 'Teamwork']",0
NOW,Hospitality,Administrative and Support Services,Maids and Housekeeping Cleaners,37-2012,18870.0,22050.0,"['Communication', 'Research', 'Basic Accounting', 'Scheduling', 'Adaptability']",1
NOW,Hospitality,Administrative and Support Services,Landscaping and Groundskeeping Workers,37-3011,22400.0,28650.0,"['Communication', 'Basic Accounting', 'Research', 'Organizational Skills', 'Adaptability', 'Resource Management']",1
NOW,Hospitality,Administrative and Support Services,Customer Service Representatives,43-4051,25850.0,34530.0,"['Time Management', 'Basic Accounting', 'Communication', 'Teamwork', 'Microsoft Office', 'Organizational Skills']",0
"NOW,Hospitality,Administrative and Support Services,""Hotel, Motel, and Resort Desk Clerks"",43-4081,18590,22080",,,,,,,"['Critical Thinking', 'Customer Service', 'Teamwork', 'Microsoft Office']",0
"NOW,Hospitality,Administrative and Support Services,""Office Clerks, General"",43-9061,22440,31640",,,,,,,"['Organizational Skills', 'Teamwork', 'Resource Management', 'Adaptability']",0
NOW,Hospitality,Administrative and Support Services,Laundry and Dry-Cleaning Workers,51-6011,18300.0,21660.0,"['Resource Management', 'Time Management', 'Research', 'Microsoft Office', 'Customer Service']",1
NEXT,Hospitality,Administrative and Support Services,Lodging Managers,nov.81,29550.0,45800.0,"['Adaptability', 'Scheduling', 'Research', 'Basic Accounting', 'Time Management']",1
NEXT,Hospitality,Administrative and Support Services,First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011,28280.0,38580.0,"['Basic Accounting', 'Microsoft Office', 'Scheduling', 'Time Management', 'Critical Thinking']",0
"NEXT,Hospitality,Administrative and Support Services,""Supervisors of Landscaping, Lawn Service & Groundskeeping Workers"",37-1012,36210,47030",,,,,,,"['Basic Accounting', 'Time Management', 'Resource Management']",0
NEXT,Hospitality,Administrative and Support Services,First-Line Supervisors of Office and Administrative Support Workers,43-1011,41230.0,56110.0,"['Microsoft Office', 'Research', 'Resource Management', 'Organizational Skills', 'Basic Accounting', 'Customer Service']",1
"NEXT,Hospitality,Administrative and Support Services,""Bookkeeping, Accounting, and Auditing Clerks"",43-3031,28720,37800",,,,,,,"['Customer Service', 'Teamwork', 'Critical Thinking', 'Research']",1
NEXT,Hospitality,Administrative and Support Services,Executive Secretaries and Executive Administrative Assistants,43-6011,44750.0,57460.0,"['Customer Service', 'Research', 'Resource Management', 'Adaptability', 'Teamwork']",1
"NEXT,Hospitality,Administrative and Support Services,""Maintenance and Repair Workers, General"",49-9071,27790,38140",,,,,,,"['Research', 'Critical Thinking', 'Communication', 'Organizational Skills', 'Resource Management']",1
LATER,Hospitality,Administrative and Support Services,General and Operations Managers,11-1021,57360.0,106730.0,"['Organizational Skills', 'Critical Thinking', 'Customer Service', 'Communication']",0
LATER,Hospitality,Administrative and Support Services,Administrative Services Managers,nov.11,62290.0,89270.0,"['Adaptability', 'Critical Thinking', 'Basic Accounting']",0
LATER,Hospitality,Administrative and Support Services,Financial Managers,nov.31,91630.0,134210.0,"['Basic Accounting', 'Communication', 'Teamwork']",0
LATER,Hospitality,Administrative and Support Services,Human Resources Managers,nov.21,83320.0,119950.0,"['Resource Management', 'Teamwork', 'Communication', 'Scheduling', 'Research']",1
LATER,Hospitality,Administrative and Support Services,Human Resources Specialists,13-1071,43630.0,63910.0,"['Scheduling', 'Basic Accounting', 'Microsoft Office']",0
LATER,Hospitality,Administrative and Support Services,Training and Development Specialists,13-1151,40250.0,59880.0,"['Research', 'Resource Management', 'Adaptability', 'Time Management', 'Teamwork', 'Scheduling']",1
LATER,Hospitality,Administrative and Support Services,Accountants and Auditors,13-2011,48320.0,70180.0,"['Scheduling', 'Adaptability', 'Resource Management', 'Customer Service', 'Basic Accounting']",0
"NOW,Hospitality,Entertainment,""Lifeguards, Ski Patrol, and Other Recreational Protective Service"",33-9092,17600,18970",,,,,,,"['Microsoft Office', 'Adaptability', 'Communication', 'Research', 'Resource Management']",1
NOW,Hospitality,Entertainment,Gaming Dealers,39-3011,18530.0,29960.0,"['Communication', 'Organizational Skills', 'Critical Thinking']",0
"NOW,Hospitality,Entertainment,""Ushers, Lobby Attendants, and Ticket Takers"",39-3031,17630,20920",,,,,,,"['Adaptability', 'Communication', 'Research', 'Resource Management', 'Scheduling', 'Microsoft Office']",1
NOW,Hospitality,Entertainment,Amusement and Recreation Attendants,39-3091,17890.0,21010.0,"['Research', 'Critical Thinking', 'Organizational Skills']",1
NOW,Hospitality,Entertainment,Gaming Change Persons and Booth Cashiers,41-2012,21980.0,27500.0,"['Resource Management', 'Time Management', 'Critical Thinking', 'Organizational Skills', 'Microsoft Office']",0
NEXT,Hospitality,Entertainment,Gaming Managers,nov.71,46750.0,63230.0,"['Organizational Skills', 'Microsoft Office', 'Communication', 'Resource Management', 'Adaptability', 'Critical Thinking']",0
NEXT,Hospitality,Entertainment,Craft Artists,27-1012,23080.0,27000.0,"['Adaptability', 'Organizational Skills', 'Microsoft Office']",0
NEXT,Hospitality,Entertainment,Audio and Video Equipment Technicians,27-4011,30790.0,41830.0,"['Communication', 'Organizational Skills', 'Customer Service', 'Microsoft Office']",0
NEXT,Hospitality,Entertainment,Sound Engineering Technicians,27-4014,35060.0,52270.0,"['Organizational Skills', 'Resource Management', 'Scheduling', 'Microsoft Office']",0
NEXT,Hospitality,Entertainment,Photographers,27-4021,21760.0,36970.0,"['Communication', 'Critical Thinking', 'Teamwork', 'Resource Management', 'Organizational Skills', 'Basic Accounting']",0
LATER,Hospitality,Entertainment,General and Operations Managers,11-1021,57360.0,106730.0,"['Adaptability', 'Customer Service', 'Critical Thinking', 'Research', 'Time Management']",1
"LATER,Hospitality,Entertainment,""Agents & Business Mgr., Artists, Performers, Athl."",13-1011,29430,39480",,,,,,,"['Research', 'Basic Accounting', 'Communication', 'Organizational Skills']",1
LATER,Hospitality,Entertainment,Museum Technicians and Conservators,25-4013,31510.0,40230.0,"['Basic Accounting', 'Microsoft Office', 'Time Management', 'Scheduling', 'Research']",1
"LATER,Hospitality,Entertainment,""Fine Artists, Including Painters, Sculptors, and Illustrators"",27-1013,25780,39610",,,,,,,"['Customer Service', 'Critical Thinking', 'Teamwork']",0
LATER,Hospitality,Entertainment,Multimedia Artists and Animators,27-1014,40820.0,56340.0,"['Time Management', 'Communication', 'Adaptability']",0
LATER,Hospitality,Entertainment,Set and Exhibit Designers,27-1027,33620.0,48190.0,"['Time Management', 'Organizational Skills', 'Resource Management']",0
LATER,Hospitality,Entertainment,Coaches and Scouts,27-2022,19430.0,43050.0,"['Organizational Skills', 'Communication', 'Customer Service', 'Resource Management', 'Scheduling']",0
LATER,Hospitality,Entertainment,Music Directors and Composers,27-2041,35260.0,52660.0,"['Communication', 'Research', 'Customer Service', 'Time Management']",1
LATER,Hospitality,Entertainment,Writers and Authors,27-3043,44110.0,64770.0,"['Customer Service', 'Teamwork', 'Time Management', 'Organizational Skills', 'Scheduling', 'Basic Accounting']",0
LATER,Hospitality,Entertainment,Athletic Trainers,29-9091,38670.0,45720.0,"['Resource Management', 'Time Management', 'Microsoft Office', 'Critical Thinking', 'Scheduling', 'Adaptability']",0
"NOW,Hospitality,Food Service,""Cooks, Fast Food"",35-2011,17660,19530",,,,,,,"['Communication', 'Scheduling', 'Research', 'Adaptability', 'Organizational Skills', 'Microsoft Office']",1
"NOW,Hospitality,Food Service,""Cooks, Institution and Cafeteria"",35-2012,19200,24250",,,,,,,"['Adaptability', 'Critical Thinking', 'Communication']",0
"NOW,Hospitality,Food Service,""Cooks, Short Order"",35-2015,17640,20360",,,,,,,"['Adaptability', 'Teamwork', 'Resource Management', 'Scheduling', 'Organizational Skills']",0
NOW,Hospitality,Food Service,Food Preparation Workers,35-2021,18220.0,21480.0,"['Adaptability', 'Basic Accounting', 'Communication', 'Resource Management']",0
NOW,Hospitality,Food Service,Bartenders,35-3011,17970.0,24890.0,"['Basic Accounting', 'Communication', 'Customer Service']",0
"NOW,Hospitality,Food Service,""Combined Food Preparation and Serving Workers, Including Fast Food"",35-3021,17640,19990",,,,,,,"['Teamwork', 'Scheduling', 'Customer Service', 'Research']",1
"NOW,Hospitality,Food Service,""Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"",35-3022,17960,20180",,,,,,,"['Microsoft Office', 'Research', 'Critical Thinking', 'Adaptability']",1
NOW,Hospitality,Food Service,Waiters and Waitresses,35-3031,17790.0,21110.0,"['Critical Thinking', 'Basic Accounting', 'Scheduling', 'Teamwork', 'Customer Service']",0
"NOW,Hospitality,Food Service,""Food Servers, Nonrestaurant"",35-3041,18070,21090",,,,,,,"['Microsoft Office', 'Basic Accounting', 'Organizational Skills']",0
NOW,Hospitality,Food Service,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011,17880.0,21330.0,"['Organizational Skills', 'Research', 'Critical Thinking', 'Scheduling', 'Resource Management', 'Adaptability']",1
NOW,Hospitality,Food Service,Dishwashers,35-9021,18030.0,20560.0,"['Scheduling', 'Time Management', 'Communication', 'Research']",1
"NOW,Hospitality,Food Service,""Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"",35-9031,17880,19890",,,,,,,"['Time Management', 'Basic Accounting', 'Resource Management']",0
"NOW,Hospitality,Food Service,""Food Preparation and Serving Related Workers, All Other"",35-9099,18700,21640",,,,,,,"['Customer Service', 'Organizational Skills', 'Scheduling', 'Resource Management']",0
NEXT,Hospitality,Food Service,Food Service Managers,nov.51,34270.0,49980.0,"['Basic Accounting', 'Customer Service', 'Critical Thinking', 'Communication', 'Time Management', 'Adaptability']",0
NEXT,Hospitality,Food Service,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,22280.0,30750.0,"['Communication', 'Organizational Skills', 'Customer Service', 'Teamwork']",0
"NEXT,Hospitality,Food Service,""Cooks, Restaurant"",35-2014,19530,23800",,,,,,,"['Customer Service', 'Communication', 'Basic Accounting', 'Organizational Skills', 'Adaptability', 'Research']",1
NEXT,Hospitality,Food Service,Bakers,51-3011,19460.0,24420.0,"['Microsoft Office', 'Organizational Skills', 'Scheduling', 'Critical Thinking', 'Communication']",0
LATER,Hospitality,Food Service,General and Operations Managers,11-1021,57360.0,106730.0,"['Scheduling', 'Time Management', 'Critical Thinking', 'Basic Accounting', 'Organizational Skills']",0
"NOW,Hospitality,Sales and Marketing,""Media and Communication Workers, All Other"",27-3099,41670,51350",,,,,,,"['Communication', 'Adaptability', 'Resource Management', 'Research', 'Basic Accounting']",1
NOW,Hospitality,Sales and Marketing,Cashiers,41-2011,17890.0,21250.0,"['Basic Accounting', 'Microsoft Office', 'Adaptability', 'Organizational Skills']",0
NOW,Hospitality,Sales and Marketing,Counter and Rental Clerks,41-2021,21130.0,32380.0,"['Basic Accounting', 'Time Management', 'Organizational Skills', 'Adaptability', 'Teamwork']",0
NOW,Hospitality,Sales and Marketing,Retail Salespersons,41-2031,19150.0,27140.0,"['Research', 'Organizational Skills', 'Customer Service']",1
NOW,Hospitality,Sales and Marketing,Customer Service Representatives,43-4051,25850.0,34530.0,"['Resource Management', 'Adaptability', 'Microsoft Office', 'Research', 'Communication']",1
NOW,Hospitality,Sales and Marketing,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,26750.0,39440.0,"['Scheduling', 'Adaptability', 'Customer Service', 'Teamwork', 'Microsoft Office']",0
"NEXT,Hospitality,Sales and Marketing,""Property, Real Estate & Community Assoc. Mgr."",nov.41,25970,53300",,,,,,,"['Time Management', 'Basic Accounting', 'Organizational Skills', 'Resource Management', 'Microsoft Office', 'Customer Service']",0
NEXT,Hospitality,Sales and Marketing,First-Line Supervisors of Retail Sales Workers,41-1011,29650.0,41020.0,"['Adaptability', 'Critical Thinking', 'Microsoft Office', 'Basic Accounting', 'Scheduling', 'Resource Management']",0
NEXT,Hospitality,Sales and Marketing,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660.0,71560.0,"['Time Management', 'Organizational Skills', 'Scheduling', 'Adaptability', 'Critical Thinking', 'Research']",1
LATER,Hospitality,Sales and Marketing,Advertising and Promotions Managers,nov.11,74970.0,122450.0,"['Teamwork', 'Basic Accounting', 'Microsoft Office', 'Communication', 'Time Management']",0
LATER,Hospitality,Sales and Marketing,Marketing Managers,nov.21,92160.0,136100.0,"['Organizational Skills', 'Resource Management', 'Adaptability', 'Critical Thinking', 'Communication', 'Basic Accounting']",0
LATER,Hospitality,Sales and Marketing,Sales Managers,nov.22,76040.0,133120.0,"['Microsoft Office', 'Basic Accounting', 'Time Management', 'Teamwork', 'Adaptability', 'Scheduling']",0
LATER,Hospitality,Sales and Marketing,Public Relations and Fundraising Managers,nov.31,72340.0,108580.0,"['Teamwork', 'Microsoft Office', 'Scheduling']",0
"LATER,Hospitality,Sales and Marketing,""Meeting, Convention, and Event Planners"",13-1121,32800,48510",,,,,,,"['Teamwork', 'Organizational Skills', 'Basic Accounting']",0
LATER,Hospitality,Sales and Marketing,Fundraisers,13-1131,39770.0,52840.0,"['Communication', 'Scheduling', 'Microsoft Office']",0
LATER,Hospitality,Sales and Marketing,Market Research Analysts & Marketing Specialists,13-1161,41100.0,64510.0,"['Resource Management', 'Scheduling', 'Basic Accounting', 'Adaptability', 'Microsoft Office']",0
LATER,Hospitality,Sales and Marketing,Art Directors,27-1011,66660.0,104760.0,"['Microsoft Office', 'Communication', 'Resource Management', 'Customer Service']",0
LATER,Hospitality,Sales and Marketing,Multimedia Artists and Animators,27-1014,40820.0,56340.0,"['Teamwork', 'Basic Accounting', 'Research', 'Time Management', 'Communication']",1
LATER,Hospitality,Sales and Marketing,Graphic Designers,27-1024,34810.0,49410.0,"['Research', 'Critical Thinking', 'Basic Accounting', 'Adaptability']",1
LATER,Hospitality,Sales and Marketing,Public Relations Specialists,27-3031,40930.0,59360.0,"['Critical Thinking', 'Research', 'Time Management', 'Basic Accounting']",1
NEXT,Information Technology,Information Support Services,Computer User Support Specialists,15-1151,34390.0,46570.0,"['Cloud Computing', 'SQL', 'Java', 'Problem Solving']",3
